# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,#
0.000000,0,0.000000,# Demand-load module list
0.000000,0,0.000000,#
0.000000,0,0.000000,package Encode::Config;
0.000159,3,0.000053,our $VERSION = do { my @r = ( q$Revision: 2.5 $ =~ /\d+/g ); sprintf "%d." . "%02d" x $#r, @r };
0.000000,0,0.000000,
0.000034,2,0.000017,use strict;
0.000371,2,0.000185,use warnings;
0.000000,0,0.000000,
0.000014,1,0.000014,our %ExtModule = (
0.000000,0,0.000000,
0.000000,0,0.000000,# Encode::Byte
0.000000,0,0.000000,#iso-8859-1 is in Encode.pm itself
0.000000,0,0.000000,'iso-8859-2'            => 'Encode::Byte',
0.000000,0,0.000000,'iso-8859-3'            => 'Encode::Byte',
0.000000,0,0.000000,'iso-8859-4'            => 'Encode::Byte',
0.000000,0,0.000000,'iso-8859-5'            => 'Encode::Byte',
0.000000,0,0.000000,'iso-8859-6'            => 'Encode::Byte',
0.000000,0,0.000000,'iso-8859-7'            => 'Encode::Byte',
0.000000,0,0.000000,'iso-8859-8'            => 'Encode::Byte',
0.000000,0,0.000000,'iso-8859-9'            => 'Encode::Byte',
0.000000,0,0.000000,'iso-8859-10'           => 'Encode::Byte',
0.000000,0,0.000000,'iso-8859-11'           => 'Encode::Byte',
0.000000,0,0.000000,'iso-8859-13'           => 'Encode::Byte',
0.000000,0,0.000000,'iso-8859-14'           => 'Encode::Byte',
0.000000,0,0.000000,'iso-8859-15'           => 'Encode::Byte',
0.000000,0,0.000000,'iso-8859-16'           => 'Encode::Byte',
0.000000,0,0.000000,'koi8-f'                => 'Encode::Byte',
0.000000,0,0.000000,'koi8-r'                => 'Encode::Byte',
0.000000,0,0.000000,'koi8-u'                => 'Encode::Byte',
0.000000,0,0.000000,'viscii'                => 'Encode::Byte',
0.000000,0,0.000000,'cp424'                 => 'Encode::Byte',
0.000000,0,0.000000,'cp437'                 => 'Encode::Byte',
0.000000,0,0.000000,'cp737'                 => 'Encode::Byte',
0.000000,0,0.000000,'cp775'                 => 'Encode::Byte',
